Category,Product Name,MRP,Sale Price
INTERNAL SSD,Crucial P310 1TB with Heatsink M.2 NVMe Gen4 7100MB/s Internal SSD,N/A,₹17990
INTERNAL SSD,Western Digital Blue SN5100 1TB M.2 NVMe Gen4 7100MB/s Internal SSD,N/A,₹17990
INTERNAL SSD,Acer Predator GM7 1TB M.2 NVMe Gen4 7400MB/s Internal SSD,N/A,₹17990
INTERNAL SSD,Gigabyte Aorus 7000E 1TB M.2 NVMe Gen4 7100MB/s Internal SSD,N/A,₹17990
INTERNAL SSD,Western Digital Black SN7100 1TB M.2 NVMe Gen4 7250MB/s Internal SSD,N/A,₹18990
INTERNAL SSD,Crucial P510 1TB M.2 NVMe Gen5 11000MB/s Internal SSD,N/A,₹19990
INTERNAL SSD,Crucial P510 1TB M.2 NVMe Gen5 11000MB/s with Heatsink Internal SSD,N/A,₹20490
INTERNAL SSD,Kioxia Exceria Plus G4 1TB M.2 NVMe Gen5 10000MB/s Internal SSD,N/A,₹21990
INTERNAL SSD,Western Digital Green SN3000 2TB M.2 NVMe Gen4 5000MB/s Internal SSD,N/A,₹23990
INTERNAL SSD,Samsung 990 Pro 1TB M.2 NVMe Gen4 7450MB/s Internal SSD,N/A,₹26990
INTERNAL SSD,MSI Spatium M470 PRO 2TB M.2 NVMe Gen4 6000MB/s Internal SSD,N/A,₹27490
INTERNAL SSD,Western Digital Blue SN5100 2TB M.2 NVMe Gen4 7100MB/s Internal SSD,N/A,₹28990
INTERNAL SSD,Samsung 9100 Pro 1TB M.2 NVMe Gen5 14700MB/s Internal SSD,N/A,₹31490
INTERNAL SSD,Internal SSDs at ModxComputers,N/A,₹16390
HARD DRIVE,Western Digital Blue 2TB 7200 RPM Desktop Internal Hard Disk,N/A,₹13490
HARD DRIVE,Hard Drives at ModxComputers,N/A,₹14990
POWER SUPPLY,Cooler Master MWE 450 V2 450 Watt 80 Plus Bronze Power Supply,N/A,₹3190
POWER SUPPLY,MSI MAG A500N-H 500 Watt Power Supply,N/A,₹3490
POWER SUPPLY,Gigabyte P550SS ICE ATX 3.0 550 Watt 80 Plus Silver Power Supply (White),N/A,₹3790
POWER SUPPLY,Cooler Master MWE Bronze 550 V3 ATX 3.1 80 Plus Bronze Power Supply,N/A,₹3990
POWER SUPPLY,MSI MAG A550BN 550 Watt 80 Plus Bronze Power Supply,N/A,₹4190
POWER SUPPLY,MSI MAG A650BN 650 Watt 80 Plus Bronze Power Supply,N/A,₹4590
POWER SUPPLY,Gigabyte P650SS ATX 3.0 650 Watt 80 Plus Silver Power Supply,N/A,₹4990
POWER SUPPLY,Corsair CX750 750 Watt 80 Plus Bronze Power Supply,N/A,₹6490
POWER SUPPLY,Cooler Master MWE Gold 750 V2 ATX 3.1 750 Watt 80 Plus Gold Fully Modular Power Supply,N/A,₹8990
POWER SUPPLY,MSI MAG A750GL PCIE 5.1 ATX 3.1 750 Watt 80 Plus Gold Fully Modular Power Supply,N/A,₹8990
POWER SUPPLY,Cooler Master MWE 1250 V2 ATX 3.1 1250 Watt 80 Plus Gold Fully Modular,N/A,₹19990
POWER SUPPLY,Gigabyte UD1300GM PG5 ATX 3.0 1300 Watts 80 Plus Gold Fully Modular,N/A,₹21490
POWER SUPPLY,PSUs at ModxComputers,N/A,₹65000
CABINETS,Ant Value CV100 (Black) Cabinet,N/A,₹2690
CABINETS,TAG Gamerz EVA  3 ARGB Fans  M-ATX Cabinet (White),N/A,₹2790
CABINETS,Ant Value CV100 (White) Cabinet,N/A,₹2890
CABINETS,MSI PRO Forge M050A (Black) Cabinets,N/A,₹2990
CABINETS,MSI PAG PANO M110A (Black) Cabinet,N/A,₹3490
CABINETS,MSI PAG SHIELD M500A  4 Auto RGB Fans  M-ATX Mini-Tower Cabinet (Black),N/A,₹3590
CABINETS,MSI PRO FORGE M051A  4 Auto-RGB Fans  M-ATX Mini-Tower Cabinet (Black),N/A,₹3690
CABINETS,TAG Gamerz Starlight  3 ARGB Fans  M-ATX Cabinet (White),N/A,₹3790
CABINETS,Ant Esports Box C Air V2  1 ARGB Fan  M-ATX Mini Tower Portable Cabinet (Black),N/A,₹3990
CABINETS,MSI MAG Forge 120A Airflow (Black),N/A,₹3990
CABINETS,MSI PRO FORGE M051R  4 ARGB Fans  M-ATX Mini-Tower Cabinet (Black),N/A,₹3990
CABINETS,Cooler Master Elite 490 ARGB (Black),N/A,₹4390
CABINETS,Ant Esports Zen Air 360 ARGB ATX Cabinet (Black),N/A,₹4490
CABINETS,TAG Gamerz Nebula  3 ARGB Fans  ATX Mid-Tower Cabinet (White),N/A,₹4490
CABINETS,TAG Gamerz Nebula  3 ARGB Fans  ATX Mid-Tower Cabinet (Black),N/A,₹4490
CABINETS,DeepCool CG330 3F ARGB Cabinet (Black),N/A,₹4490
CABINETS,Ant Esports 411 Air ARGB (Black) Cabinet,N/A,₹4790
CABINETS,Cooler Master Elite 481 Wood ARGB (Black),N/A,₹4790
CABINETS,Ant Esports Titan Core 360  4 ARGB Fans  E-ATX Mid Tower Cabinet (Black),N/A,₹4890
CABINETS,Ant Esports ICE-410TG ARGB Cabinet (Black),N/A,₹4890
CABINETS,Cooler Master Elite 481 Wood ARGB (White),N/A,₹4990
CABINETS,Ant Esports Crystal X3 LCD ARGB (White) Cabinet,N/A,₹4990
CABINETS,Ant Esports Crystal X3 LCD ARGB (Black) Cabinet,N/A,₹4990
CABINETS,Ant Esports 711 Air Mesh ARGB Cabinet (Black),N/A,₹4990
CABINETS,DeepCool CG380 3F  3 ARGB Fans  M-ATX Cabinet (Black),N/A,₹4990
CABINETS,Cooler Master Elite 690 Wood ARGB (Black),N/A,₹5190
CABINETS,Ant Esports Zen Wood C3 (Black),N/A,₹5190
